NCTId,Sponsor,Phase,Status,Countries,Interventions,Emerging_Modality
NCT04827069,"Sunshine Lake Pharma Co., Ltd.",PHASE1,COMPLETED,,Clifutinib Besylate,No
NCT06232083,Anhui Provincial Hospital,PHASE1,RECRUITING,,PLDR+Cardunizumab,No
NCT06661083,AGUNCO Obstetrics and Gynecology Centre,NA,COMPLETED,,"EGCG, FA, HA, B12",No
NCT06722183,Institut für Klinische Krebsforschung IKF GmbH at Krankenhaus Nordwest,PHASE2,RECRUITING,,Futibatinib orally administered | Tislelizumab (i.v. 200mg),No
NCT04772469,"University of California, San Francisco",NA,COMPLETED,,Provision of multiple self-tests | Small monetary incentives | Use of SMS/text reminders to motivate adherence to ART or PrEP,No
NCT06891183,Assiut University,NA,RECRUITING,,Percutaneous thermal ablation of lung tumors,No
NCT00956241,Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA),NA,COMPLETED,,j-pouch coloanal anastomosis | side-to-end coloanal anastomosis,No
NCT05536154,The Affiliated People's Hospital of Ningbo University,NA,RECRUITING,,Etoposide | Cytarabine | PEG-rhG-CSF,No
NCT00639054,"Rigshospitalet, Denmark",,COMPLETED,,Bone marrow examination | Blood samples,No
NCT06005259,University of Sao Paulo,PHASE4,UNKNOWN,,Spironolactone | Placebo,No
NCT00172159,National Taiwan University Hospital,PHASE2,UNKNOWN,,Hepatic resection,No
NCT05997459,Sun Yat-sen University,PHASE2,UNKNOWN,,Pemigatinib,No
NCT04864379,Sir Run Run Shaw Hospital,PHASE1,UNKNOWN,,iNeo-Vac-P01 | GM-CSF | PD-1 | RFA,No
NCT02426879,UMC Utrecht,NA,COMPLETED,,esophagectomy with three-field lymphnode dissection,No
NCT05219162,AstraZeneca,PHASE4,COMPLETED,,Gene Profile explore,No
NCT00517803,London Health Sciences Centre Research Institute OR Lawson Research Institute of St. Joseph's,NA,COMPLETED,,Probiotic Yogurt B: with various micronutrients | Probiotic Yogurt A: Kaiser micronutrients | Probiotic yogurt C: with basic micronutrients | Probiotic Yogurt D: Placebo -- no added micronutrients,No
NCT02879227,Centre Hospitalier Universitaire de Besancon,PHASE2,COMPLETED,,Cisplatin | Oxaliplatin,No
NCT03899870,ammar houssem,,COMPLETED,,Rectal resection | Neoadjuvant therapy | Adjuvant therapy,No
NCT01738269,Chinese PLA General Hospital,,COMPLETED,,,No
NCT01961583,Asan Medical Center,PHASE2,TERMINATED,,18F-Fluciclatide,No
NCT00336583,Asan Medical Center,PHASE2,COMPLETED,,Oxaliplatin,No
NCT01050283,Merck Sharp & Dohme LLC,PHASE1,TERMINATED,,Comparator: [18F]-FDG PET/CT and Volumetric CT,No
NCT05443854,Assistance Publique - Hôpitaux de Paris,PHASE3,UNKNOWN,,Aminoglycosides intervention | Lack of protective isolation intervention | No systematic aminoglycosides intervention - standard arm | Protective isolation intervention - standard arm,No
NCT03998254,Merck Sharp & Dohme LLC,PHASE3,ACTIVE_NOT_RECRUITING,,V503 | Gardasil,No
NCT04901741,TME Pharma AG,PHASE2,NOT_YET_RECRUITING,,Olaptesed pegol | Pembrolizumab,No
NCT04026841,The First Affiliated Hospital of Guangzhou Medical University,PHASE2,UNKNOWN,,PD-1 antibody Sintilimab,No
NCT07435454,Jiangsu Cancer Institute & Hospital,PHASE2,RECRUITING,,oral paclitaxel+radiotherapy,No
NCT00369954,Gynecologic Oncology Group,PHASE2,WITHDRAWN,,carboplatin | gemcitabine hydrochloride,No
NCT00287105,Rennes University Hospital,PHASE2,COMPLETED,,Standard chemotherapy + Imatinib,No
NCT02580994,European Organisation for Research and Treatment of Cancer - EORTC,PHASE2,COMPLETED,,Pembrolizumab | cis/carboplatin and etoposide,No
NCT04931394,Changhai Hospital,PHASE3,UNKNOWN,,Adjuvant chemotherapy guided by organoid drug sensitivity test,No
NCT01417494,Federation Francophone de Cancerologie Digestive,PHASE2,COMPLETED,,"Chemotherapy ( FOLFIRI regimen, FOLFOX regimen or LV5FU2 regimen) | Chemotherapy ( FOLFIRI regimen, FOLFOX regimen or LV5FU2 regimen) + bevacizumab",No
NCT05960266,University of Zurich,EARLY_PHASE1,COMPLETED,,Polvac Grass+Rye,No
NCT02977156,Centre Leon Berard,PHASE1,COMPLETED,,Pexa-Vec | Ipilimumab,No
NCT06185556,"Amsterdam UMC, location VUmc","PHASE2, PHASE3",RECRUITING,,Irreversible electroporation | Stereotactic body radiotherapy,No
NCT05975151,Qilu Hospital of Shandong University,PHASE2,UNKNOWN,,Pseudomonas aeruginosa,No
NCT04116151,Hospital Universitario Reina Sofia de Cordoba,NA,COMPLETED,,"Cosmetic cream (Alantel (R): aloe vera, chamomile and thime) | Usual treatment",No
NCT06876402,Hellenic Cooperative Oncology Group,,ACTIVE_NOT_RECRUITING,,,No
NCT06106750,First People's Hospital of Hangzhou,NA,UNKNOWN,,Endoscopic nasobiliary duct cutting | Bilateral plastic stent,No
NCT06156150,Huashan Hospital,,RECRUITING,,tumor vaccine,No
NCT03628274,Assistance Publique Hopitaux De Marseille,NA,UNKNOWN,,"Magnetic Resonance Imaging (MRI) 7 Tesla | Magnetic Resonance Imaging (MRI) 1,5 Tesla",No
NCT02187718,Medical Center Alkmaar,NA,UNKNOWN,,Sentinel Node Procedure under Local Anaesthesia | Sentinel Node Procedure under General Anaesthesia,No
NCT01444560,Ruhr University of Bochum,,COMPLETED,,,No
NCT00122720,Herning Hospital,PHASE4,COMPLETED,,Darbepoetin Alfa,No
NCT05665920,Instituto Brasileiro de Controle do Cancer,NA,RECRUITING,,Ultra-hypofractionated whole breast radiotherapy | Standard Radiation,No
NCT03099382,"Jiangsu HengRui Medicine Co., Ltd.",PHASE3,COMPLETED,,camrelizumab | Docetaxel | Irinotecan,No
NCT02095782,Guangdong Association of Clinical Trials,PHASE2,TERMINATED,,Intercalated combination of chemotherapy and erlotinib,No
NCT01480323,University Hospital Tuebingen,PHASE2,COMPLETED,,Interleukin-2 | Ipilimumab,No
NCT04289259,Assistance Publique - Hôpitaux de Paris,,TERMINATED,,TMB assessment,No
NCT06629896,Azienda USL Reggio Emilia - IRCCS,NA,RECRUITING,,Contrast Enhancement Mammography | magnetic resonance imaging (MRI) and digital mammography (DM),No
NCT07162246,Sunnybrook Health Sciences Centre,PHASE2,RECRUITING,,Radiation Therapy,No
NCT04238988,Fondazione Policlinico Universitario Agostino Gemelli IRCCS,PHASE2,UNKNOWN,,Pembrolizumab | Carboplatin | Taxol,No
NCT02490488,AB Science,"PHASE2, PHASE3",COMPLETED,,Masitinib | Gemcitabine | Placebo,No
NCT02122588,AstraZeneca,,COMPLETED,,,No
NCT05511688,Federation Francophone de Cancerologie Digestive,,ACTIVE_NOT_RECRUITING,,,No
NCT05526261,Linkoeping University,,UNKNOWN,,Hemithyroidectoy,No
NCT02492542,Wang Jianliu,NA,UNKNOWN,,PHENIX USB 8.,No
NCT04303286,Tongji Hospital,,COMPLETED,,,No
NCT07056270,Tongji Hospital,,NOT_YET_RECRUITING,,static CT scans,No
NCT00893373,Technische Universität Dresden,PHASE2,COMPLETED,,sorafenib | placebo,No
NCT01895673,dr. M.P. van den Tol MD PhD,,COMPLETED,,Gadolinium,No
NCT06866873,Hong Kong Children's Hospital,NA,RECRUITING,,CAR-T,Yes
NCT05820373,The University of Hong Kong,NA,COMPLETED,,Yoga therapy | Active control group | Passive control group,No
NCT04284969,Hospices Civils de Lyon,NA,RECRUITING,,PROADAPT program,No
NCT04167683,"Rigshospitalet, Denmark",,ACTIVE_NOT_RECRUITING,,No intervention,No
NCT03625583,The University of Hong Kong,,UNKNOWN,,,No
NCT00713141,"National University Hospital, Singapore",,COMPLETED,,,No
NCT06993441,Ege University,NA,COMPLETED,,Experimantal group | control group,No
NCT01290354,GlaxoSmithKline,PHASE1,COMPLETED,,Lapatinib | [11C] lapatinib,No
NCT03474354,Malagari Katerina,,COMPLETED,,chemoembolization,No
NCT01364454,Paris 12 Val de Marne University,EARLY_PHASE1,COMPLETED,,Eligible patients' paper-based reminder,No
NCT01427205,M.D. Anderson Cancer Center,PHASE2,WITHDRAWN,,Cetuximab | OSI-906 | Placebo,No
NCT07376694,University of Hull,NA,ACTIVE_NOT_RECRUITING,,Bowel cancer screening kit,No
NCT04749394,Chinese Academy of Medical Sciences,PHASE2,UNKNOWN,,"Camrelizumab, PD-1 monoclonal antibody | Apatinib, VEGFR2 antibody",No
NCT05893056,Fudan University,PHASE2,UNKNOWN,,Cryoablation | Tislelizumab | Lenvatinib,No
NCT07381959,Uppsala University,,RECRUITING,,,No
NCT01256359,University of Oxford,PHASE2,COMPLETED,,Docetaxel and AZD6244 | Docetaxel and placebo,No
NCT05541146,Instituto do Cancer do Estado de São Paulo,PHASE2,UNKNOWN,,Intraperitoneal chemotherapy,No
NCT04772846,Egyptian Medical Syndicate,"PHASE1, PHASE2",UNKNOWN,,Oral tablet | Placebo,No
NCT01796288,Wu Jieping Medical Foundation,PHASE2,UNKNOWN,,simultaneous radiotherapy | Erlotinib,No
NCT05728788,Peking University Third Hospital,,UNKNOWN,,Antitumor drugs,No
NCT01607827,University of Zurich,NA,COMPLETED,,Polyp removal upon insertion and withdrawal | Polyp removal upon withdrawal only,No
NCT05171127,Karolinska University Hospital,,COMPLETED,,Diffuse Reflectance Spectroscopy,No
NCT03532061,New York University,NA,COMPLETED,,FamCare Program | Caregiver Support Group,No
